sender,sender_type,sender_id,timestamp,meta,,Provo_ID,age,artist_name,correct,correctResponse,distraction,duration,ended_on,familiarity,gender,headphone_check_performance,item,list,music_genres,offensiveness,pleasantness,position_correct,preference,response,response_action,song_name,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
screen,html.Screen,2_1_20,2021-03-07T12:58:15.114Z,,,54,,,,,,248.71700000220153,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- save ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,37781.93000005558,37781.2350000022,37515.839,37518.525000079535,37532.518,37799.285,,20,save
screen,html.Screen,2_1_21,2021-03-07T12:58:15.411Z,,,54,,,,,,278.1750000586326,response,,,,100,,,,,,,Space,keypress(Space),,,,,,"-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- money,<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------",38078.33000004757,38077.460000058636,37782.684,37782.10500010755,37799.285,38082.879,,21,"money,"
screen,html.Screen,2_1_22,2021-03-07T12:58:15.642Z,,,54,,,,,,226.4810000720463,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>the ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,38310.180000029504,38309.36000007205,38066.222,38078.60000000801,38082.879,38316.299,,22,the
screen,html.Screen,2_1_23,2021-03-07T12:58:16.148Z,,,54,,,,,,498.95600002317224,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- state --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,38816.14500004798,38815.25500002317,38299.725,38310.44000003021,38316.299,38833.375,,23,state
screen,html.Screen,2_1_24,2021-03-07T12:58:16.179Z,,,54,,,,,,12.560000106692314,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- cut --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,38846.69000003487,38845.93500010669,38816.768,38816.41000008676,38833.375,38866.719,,24,cut
screen,html.Screen,2_1_25,2021-03-07T12:58:16.209Z,,,54,,,,,,9.616000037218328,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- the ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,38877.10000004154,38876.335000037216,38850.06,38846.959999995306,38866.719,38900.078,,25,the
screen,html.Screen,2_1_26,2021-03-07T12:58:16.256Z,,,54,,,,,,23.3320000467138,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- bonds' -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,38924.20000000857,38923.410000046715,38883.411,38877.350000082515,38900.078,38933.37,,26,bonds'
screen,html.Screen,2_1_27,2021-03-07T12:58:16.287Z,,,54,,,,,,20.480000048984948,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ interest ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,38954.61500005331,38953.85000004899,38916.764,38924.450000049546,38933.37,38966.791,,27,interest
screen,html.Screen,2_1_28,2021-03-07T12:58:16.319Z,,,54,,,,,,19.674000081809936,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- rate. --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,38987.309999996796,38986.46500008181,38950.13,38954.86500009429,38966.791,39000.146,,28,rate.
screen,html.Screen,2_1_29,2021-03-07T12:58:16.350Z,,,54,,,,,,16.5040000050285,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- The ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,39017.560000065714,39016.65000000503,38983.474,38987.569999997504,39000.146,39033.509,,29,The
screen,html.Screen,2_1_30,2021-03-07T12:58:16.381Z,,,54,,,,,,14.356000087769644,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- market ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,39048.61500009429,39047.86500008777,39016.829,39017.82000006642,39033.509,39066.857,,30,market
screen,html.Screen,2_1_31,2021-03-07T12:58:16.411Z,,,54,,,,,,10.678000047642854,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ value --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,39078.3250000095,39077.53500004765,39050.187,39048.875000094995,39066.857,39100.181,,31,value
screen,html.Screen,2_1_32,2021-03-07T12:58:16.443Z,,,54,,,,,,9.624000014606281,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- of<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,39110.51500006579,39109.8050000146,39083.552,39078.57500005048,39100.181,39133.571,,32,of
screen,html.Screen,2_1_33,2021-03-07T12:58:16.473Z,,,54,,,,,,6.279000035945501,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>these ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,39140.595000004396,39139.85000003595,39116.902,39110.770000028424,39133.571,39166.932,,33,these
screen,html.Screen,2_1_34,2021-03-07T12:58:16.520Z,,,54,,,,,,20.113000027864473,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- bonds ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,39187.77499999851,39187.045000027865,39150.252,39140.85000008345,39166.932,39200.272,,34,bonds
screen,html.Screen,2_1_35,2021-03-07T12:58:16.551Z,,,54,,,,,,17.888000047649257,response,,,,100,,,,,,,Space,keypress(Space),,,,,,"-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- plummeted, --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------",39218.89000001829,39218.16000004765,39183.608,39188.02500003949,39200.272,39233.588,,35,"plummeted,"
screen,html.Screen,2_1_36,2021-03-07T12:58:16.582Z,,,54,,,,,,15.827000085715554,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- and --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,39250.15500001609,39249.41500008572,39216.962,39219.15500005707,39233.588,39266.942,,36,and
screen,html.Screen,2_1_37,2021-03-07T12:58:16.613Z,,,54,,,,,,13.018000072603172,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- the ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,39280.66500008572,39279.960000072606,39250.314,39250.400000019,39266.942,39300.342,,37,the
screen,html.Screen,2_1_38,2021-03-07T12:58:16.644Z,,,54,,,,,,10.87300011068146,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- market ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,39311.920000007376,39311.21500011068,39283.674,39280.910000088625,39300.342,39333.699,,38,market
screen,html.Screen,2_1_39,2021-03-07T12:58:16.675Z,,,54,,,,,,8.20600003751315,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ became ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,39342.59000001475,39341.905000037514,39316.975,39312.945000012405,39333.699,39367.055,,39,became
screen,html.Screen,2_1_40,2021-03-07T12:58:16.707Z,,,54,,,,,,6.755000019147701,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ wary -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,39374.57500002347,39373.81000001915,39350.382,39342.830000096,39367.055,39400.41,,40,wary
screen,html.Screen,2_1_41,2021-03-07T12:58:16.738Z,,,54,,,,,,4.799999997165287,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- of ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,39405.935000046156,39405.20999999717,39383.737,39374.81500010472,39400.41,39433.761,,41,of
screen,html.Screen,2_1_42,2021-03-07T12:58:16.771Z,,,54,,,,,,4.0840000658645295,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- French<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,39438.58000007458,39437.84500006586,39417.094,39406.185000087135,39433.761,39467.119,,42,French
screen,html.Screen,2_1_43,2021-03-07T12:58:16.817Z,,,54,,,,,,16.616000016168982,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>credit. --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,39484.585000085644,39483.73500001617,39450.45,39438.82000003941,39467.119,39500.476,,43,credit.
screen,html.Screen,2_1_44,2021-03-07T12:58:16.848Z,,,54,,,,,,14.469000060831604,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- The ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,39515.67000010982,39514.945000060834,39483.777,39484.83000008855,39500.476,39533.832,,44,The
screen,html.Screen,2_1_45,2021-03-07T12:58:16.879Z,,,54,,,,,,11.83800002134376,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- French ----- --- ---- ------- -- ---- --- --<br>------- ------,39546.400000108406,39545.670000021346,39517.163,39515.90500003658,39533.832,39567.145,,45,French
