sender,sender_type,sender_id,timestamp,meta,,Provo_ID,age,artist_name,correct,correctResponse,distraction,duration,ended_on,familiarity,gender,headphone_check_performance,item,music_genres,offensiveness,pleasantness,position_correct,preference,response,response_action,song_name,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
screen,html.Screen,2_1_20,2021-03-07T04:19:12.198Z,,,54,,,,,,360.30399995950575,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- save ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,30206.375000008848,30205.519999959506,29828.691,29838.630000012927,29845.216,30212.212,,20,save
screen,html.Screen,2_1_21,2021-03-07T04:19:12.590Z,,,54,,,,,,385.2679999967222,response,,,,100,,,,,,Space,keypress(Space),,,,,"-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- money,<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------",30598.360000003595,30597.47999999672,30195.548,30206.620000011753,30212.212,30612.5,,21,"money,"
screen,html.Screen,2_1_22,2021-03-07T04:19:13.013Z,,,54,,,,,,408.7900000042282,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>the ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,31022.134999977425,31021.29000000423,30595.877,30598.609999986365,30612.5,31029.25,,22,the
screen,html.Screen,2_1_23,2021-03-07T04:19:13.357Z,,,54,,,,,,336.0749999624677,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- state --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,31366.134999960195,31365.324999962468,31012.744,31022.369999962393,31029.25,31379.588,,23,state
screen,html.Screen,2_1_24,2021-03-07T04:19:13.749Z,,,54,,,,,,377.5269999857883,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- cut --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,31757.90500000585,31757.114999985788,31363.018,31366.385000001173,31379.588,31763.208,,24,cut
screen,html.Screen,2_1_25,2021-03-07T04:19:14.141Z,,,54,,,,,,385.88199996259937,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- the ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,32149.890000000596,32149.089999962598,31746.604,31758.150000008754,31763.208,32163.504,,25,the
screen,html.Screen,2_1_26,2021-03-07T04:19:14.533Z,,,54,,,,,,377.55599995954253,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- bonds' -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,32541.85999999754,32541.059999959543,32146.867,32150.1200000057,32163.504,32547.038,,26,bonds'
screen,html.Screen,2_1_27,2021-03-07T04:19:14.957Z,,,54,,,,,,418.0520000124234,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ interest ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,32965.98499995889,32965.090000012424,32530.439,32542.09499998251,32547.038,32980.71,,27,interest
screen,html.Screen,2_1_28,2021-03-07T04:19:15.350Z,,,54,,,,,,377.2050000005038,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- rate. --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,33358.754999993835,33357.9150000005,32964.083,32966.2449999596,32980.71,33364.284,,28,rate.
screen,html.Screen,2_1_29,2021-03-07T04:19:15.797Z,,,54,,,,,,440.64100000400504,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- The ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,33805.790000013076,33804.925000004005,33347.643,33358.99499995867,33364.284,33814.454,,29,The
screen,html.Screen,2_1_30,2021-03-07T04:19:16.229Z,,,54,,,,,,422.39599998659105,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- market ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,34237.66499996418,34236.84999998659,33797.923,33806.034999957774,33814.454,34248.153,,30,market
screen,html.Screen,2_1_31,2021-03-07T04:19:16.653Z,,,54,,,,,,412.60699999884673,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ value --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,34661.5799999563,34660.759999998845,34231.561,34237.90999996709,34248.153,34665.1,,31,value
screen,html.Screen,2_1_32,2021-03-07T04:19:17.069Z,,,54,,,,,,411.52499998696294,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- of<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,35077.339999959804,35076.62499998696,34648.503,34661.81499999948,34665.1,35082.05,,32,of
screen,html.Screen,2_1_33,2021-03-07T04:19:17.477Z,,,54,,,,,,402.5949999604345,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>these ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,35485.504999989644,35484.64499996044,35065.457,35077.57500000298,35082.05,35498.967,,33,these
screen,html.Screen,2_1_34,2021-03-07T04:19:17.861Z,,,54,,,,,,369.6329999870577,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- bonds ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,35869.44999999832,35868.599999987055,35482.249,35485.754999972414,35498.967,35882.557,,34,bonds
screen,html.Screen,2_1_35,2021-03-07T04:19:18.285Z,,,54,,,,,,409.9879999747791,response,,,,100,,,,,,Space,keypress(Space),,,,,"-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- plummeted, --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------",36293.42499998165,36292.54499997478,35865.966,35869.69500000123,35882.557,36299.49,,35,"plummeted,"
screen,html.Screen,2_1_36,2021-03-07T04:19:18.733Z,,,54,,,,,,440.989999978563,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- and --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,36741.34499998763,36740.47999997856,36282.909,36293.66999998456,36299.49,36749.783,,36,and
screen,html.Screen,2_1_37,2021-03-07T04:19:19.165Z,,,54,,,,,,422.6269999992146,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- the ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,37173.27999998815,37172.40999999922,36733.223,36741.58999999054,36749.783,37183.401,,37,the
screen,html.Screen,2_1_38,2021-03-07T04:19:19.636Z,,,54,,,,,,460.94899995865126,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- market ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,37645.184999972116,37644.34999995865,37166.823,37173.529999970924,37183.401,37650.42,,38,market
screen,html.Screen,2_1_39,2021-03-07T04:19:20.060Z,,,54,,,,,,417.7399999661575,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ became ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,38068.97999998182,38068.159999966156,37633.813,37645.42499999516,37650.42,38084.046,,39,became
screen,html.Screen,2_1_40,2021-03-07T04:19:20.492Z,,,54,,,,,,416.0240000091435,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ wary -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,38500.8899999666,38500.070000009146,38067.423,38069.22000000486,38084.046,38517.666,,40,wary
screen,html.Screen,2_1_41,2021-03-07T04:19:20.924Z,,,54,,,,,,414.3289999917324,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- of ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,38932.80499998946,38931.99499999173,38501.011,38501.13499996951,38517.666,38934.555,,41,of
screen,html.Screen,2_1_42,2021-03-07T04:19:21.396Z,,,54,,,,,,469.44000000057713,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- French<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,39404.804999998305,39403.99500000058,38917.963,38933.039999974426,38934.555,39418.259,,42,French
screen,html.Screen,2_1_43,2021-03-07T04:19:21.852Z,,,54,,,,,,441.6360000014174,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>credit. --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,39860.69999996107,39859.895000001416,39401.591,39405.05000000121,39418.259,39868.415,,43,credit.
screen,html.Screen,2_1_44,2021-03-07T04:19:22.260Z,,,54,,,,,,399.51499997269275,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- The ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,40268.8049999997,40267.92999997269,39851.921,39860.94499996398,39868.415,40285.507,,44,The
screen,html.Screen,2_1_45,2021-03-07T04:19:22.700Z,,,54,,,,,,422.34799998601375,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- French ----- --- ---- ------- -- ---- --- --<br>------- ------,40708.669999963604,40707.85499998601,40268.85,40269.05499998247,40285.507,40719.053,,45,French
screen,html.Screen,2_1_46,2021-03-07T04:19:23.148Z,,,54,,,,,,436.6869999583141,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ state --- ---- ------- -- ---- --- --<br>------- ------,41156.59999998752,41155.739999958314,40702.474,40708.90500000678,40719.053,41169.36,,46,state
