"subject","gender","age","education","list","experiment_time","trap_accuracy","honesty","subject_pool","filename"
25,"female",26,"undergraduate","A",18.8167,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_A_PARTICIPANT_SESSION_2022-05-03_21h21.55.151.csv"
26,"male",34,"undergraduate","A",17.3333,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_A_PARTICIPANT_SESSION_2022-05-10_09h47.19.320.csv"
27,"female",22,"A-Levels","B",15.9667,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_B_PARTICIPANT_SESSION_2022-04-25_18h22.19.330.csv"
28,"female",31,"postgraduate","B",24.8,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_B_PARTICIPANT_SESSION_2022-04-25_18h31.03.776.csv"
29,"female",34,"undergraduate","B",20.5833,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_B_PARTICIPANT_SESSION_2022-04-25_18h32.06.481.csv"
30,"female",40,"A-Levels","B",20,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_B_PARTICIPANT_SESSION_2022-04-25_18h37.44.84.csv"
31,"female",29,"GCSEs","B",27,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_B_PARTICIPANT_SESSION_2022-04-25_18h41.22.22.csv"
32,"male",33,"undergraduate","B",19.9333,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_B_PARTICIPANT_SESSION_2022-04-25_18h42.34.179.csv"
33,"male",42,"A-Levels","B",25.5167,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_B_PARTICIPANT_SESSION_2022-04-25_18h52.24.445.csv"
34,"male",48,"undergraduate","B",33.3667,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_B_PARTICIPANT_SESSION_2022-04-25_23h16.29.645.csv"
35,"female",36,"postgraduate","B",16.75,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_B_PARTICIPANT_SESSION_2022-04-27_12h18.57.949.csv"
36,"female",40,"postgraduate","B",17.6833,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_B_PARTICIPANT_SESSION_2022-04-27_12h24.55.257.csv"
37,"female",20,"A-Levels","B",18.9667,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_B_PARTICIPANT_SESSION_2022-04-27_12h26.41.750.csv"
38,"female",40,"undergraduate","B",21.0833,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_B_PARTICIPANT_SESSION_2022-04-27_12h27.40.522.csv"
39,"female",41,"A-Levels","B",30.55,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_B_PARTICIPANT_SESSION_2022-04-27_12h43.41.306.csv"
40,"male",47,"postgraduate","B",17.7,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_B_PARTICIPANT_SESSION_2022-05-04_10h21.45.765.csv"
41,"male",42,"undergraduate","B",20.4167,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_B_PARTICIPANT_SESSION_2022-05-04_10h25.23.850.csv"
42,"female",46,"postgraduate","B",19.2,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_B_PARTICIPANT_SESSION_2022-05-04_10h30.21.772.csv"
43,"male",41,"undergraduate","B",25.9333,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_B_PARTICIPANT_SESSION_2022-05-04_10h32.01.712.csv"
44,"male",33,"undergraduate","B",17.0333,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_B_PARTICIPANT_SESSION_2022-05-10_09h29.03.904.csv"
45,"female",41,"undergraduate","B",18.85,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_B_PARTICIPANT_SESSION_2022-05-10_14h53.35.338.csv"
46,"female",36,"undergraduate","B",19.6667,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_B_PARTICIPANT_SESSION_2022-05-10_14h56.25.832.csv"
47,"female",38,"undergraduate","B",23.9833,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_B_PARTICIPANT_SESSION_2022-05-10_14h58.08.485.csv"
48,"female",45,"GCSEs","B",19.8667,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_B_PARTICIPANT_SESSION_2022-05-10_15h07.26.967.csv"
49,"male",26,"undergraduate","B",19.5833,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_B_PARTICIPANT_SESSION_2022-05-10_17h38.10.524.csv"
50,"male",41,"A-Levels","B",16.9667,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_B_PARTICIPANT_SESSION_2022-05-10_17h39.49.605.csv"
51,"female",19,"A-Levels","B",20.8167,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_B_PARTICIPANT_SESSION_2022-05-10_17h47.29.990.csv"
52,"female",28,"postgraduate","B",17.2167,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_B_PARTICIPANT_SESSION_2022-05-10_22h04.19.777.csv"
53,"female",37,"A-Levels","C",16.7333,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_C_PARTICIPANT_SESSION_2022-04-27_14h03.30.613.csv"
54,"male",30,"phd","C",18.6,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_C_PARTICIPANT_SESSION_2022-04-27_14h06.03.881.csv"
55,"female",43,"undergraduate","C",19.35,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_C_PARTICIPANT_SESSION_2022-04-27_14h06.20.968.csv"
56,"female",34,"undergraduate","C",26.1,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_C_PARTICIPANT_SESSION_2022-04-27_14h08.48.831.csv"
57,"male",35,"GCSEs","C",22.4833,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_C_PARTICIPANT_SESSION_2022-04-27_14h17.21.703.csv"
58,"female",29,"GCSEs","C",27.6167,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_C_PARTICIPANT_SESSION_2022-04-27_14h24.35.236.csv"
59,"female",31,"GCSEs","C",21.3833,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_C_PARTICIPANT_SESSION_2022-04-27_14h27.37.149.csv"
60,"female",45,"phd","C",20.0167,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_C_PARTICIPANT_SESSION_2022-04-27_14h58.56.761.csv"
61,"female",35,"GCSEs","C",22.5167,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_C_PARTICIPANT_SESSION_2022-04-27_16h38.26.974.csv"
62,"female",24,"undergraduate","C",14.6167,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_C_PARTICIPANT_SESSION_2022-04-27_21h04.26.722.csv"
63,"female",22,"A-Levels","C",17.1167,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_C_PARTICIPANT_SESSION_2022-04-27_21h07.41.61.csv"
64,"male",24,"postgraduate","C",16.3167,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_C_PARTICIPANT_SESSION_2022-04-27_21h11.45.463.csv"
65,"male",30,"GCSEs","C",16.45,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_C_PARTICIPANT_SESSION_2022-04-27_21h48.28.419.csv"
66,"female",39,"postgraduate","C",19.75,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_C_PARTICIPANT_SESSION_2022-04-27_21h59.25.323.csv"
67,"female",39,"postgraduate","C",18.8333,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_C_PARTICIPANT_SESSION_2022-05-09_11h32.32.787.csv"
68,"female",30,"undergraduate","C",16.2,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_C_PARTICIPANT_SESSION_2022-05-09_11h37.22.3.csv"
69,"male",32,"undergraduate","C",27.2,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_C_PARTICIPANT_SESSION_2022-05-09_11h41.56.179.csv"
70,"female",34,"postgraduate","C",25.85,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_C_PARTICIPANT_SESSION_2022-05-09_11h53.41.571.csv"
71,"female",21,"A-Levels","C",21.0833,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_C_PARTICIPANT_SESSION_2022-05-09_12h22.10.423.csv"
72,"female",48,"GCSEs","C",25.6667,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_C_PARTICIPANT_SESSION_2022-05-09_12h24.47.305.csv"
73,"female",38,"undergraduate","C",21.0833,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_C_PARTICIPANT_SESSION_2022-05-09_12h24.51.812.csv"
74,"male",39,"undergraduate","C",16.2167,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_C_PARTICIPANT_SESSION_2022-05-09_12h29.35.881.csv"
75,"female",28,"postgraduate","C",14.9667,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_C_PARTICIPANT_SESSION_2022-05-11_12h23.36.331.csv"
76,"female",44,"undergraduate","C",22.5167,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_C_PARTICIPANT_SESSION_2022-05-11_12h37.33.489.csv"
77,"female",26,"undergraduate","C",22.7833,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_C_PARTICIPANT_SESSION_2022-05-11_12h38.37.520.csv"
78,"female",49,"undergraduate","C",20.85,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_C_PARTICIPANT_SESSION_2022-05-11_12h54.00.583.csv"
79,"female",27,"undergraduate","D",17.75,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_D_PARTICIPANT_SESSION_2022-04-28_11h01.23.154.csv"
80,"female",39,"undergraduate","D",19.25,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_D_PARTICIPANT_SESSION_2022-04-28_11h02.26.452.csv"
81,"male",28,"undergraduate","D",18.1833,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_D_PARTICIPANT_SESSION_2022-04-28_11h04.46.966.csv"
82,"male",45,"postgraduate","D",21.5833,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_D_PARTICIPANT_SESSION_2022-04-28_11h06.05.680.csv"
83,"female",34,"postgraduate","D",20.2667,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_D_PARTICIPANT_SESSION_2022-04-28_11h07.58.399.csv"
84,"male",37,"undergraduate","D",26.75,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_D_PARTICIPANT_SESSION_2022-04-28_11h11.15.164.csv"
85,"female",50,"undergraduate","D",20.25,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_D_PARTICIPANT_SESSION_2022-04-28_11h11.56.747.csv"
86,"other",26,"postgraduate","D",29.2333,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_D_PARTICIPANT_SESSION_2022-04-28_11h15.06.631.csv"
87,"male",21,"GCSEs","D",18.8,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_D_PARTICIPANT_SESSION_2022-04-28_11h48.33.834.csv"
88,"male",36,"undergraduate","D",18.7,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_D_PARTICIPANT_SESSION_2022-04-28_11h49.57.247.csv"
89,"female",48,"GCSEs","D",21.5,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_D_PARTICIPANT_SESSION_2022-04-28_11h53.34.639.csv"
90,"male",34,"undergraduate","D",21.8,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_D_PARTICIPANT_SESSION_2022-04-28_11h54.40.111.csv"
91,"female",30,"postgraduate","D",16.95,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_D_PARTICIPANT_SESSION_2022-04-28_12h33.50.5.csv"
92,"female",33,"GCSEs","D",22.4167,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_D_PARTICIPANT_SESSION_2022-04-28_12h42.21.479.csv"
93,"male",25,"postgraduate","D",17.3667,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_D_PARTICIPANT_SESSION_2022-04-28_12h53.09.414.csv"
94,"male",47,"GCSEs","D",33.7833,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_D_PARTICIPANT_SESSION_2022-04-28_13h12.10.451.csv"
95,"female",21,"undergraduate","D",17.3167,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_D_PARTICIPANT_SESSION_2022-04-28_13h50.43.753.csv"
96,"female",40,"GCSEs","D",22.7333,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_D_PARTICIPANT_SESSION_2022-05-09_13h05.50.613.csv"
97,"female",29,"undergraduate","D",18.35,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_D_PARTICIPANT_SESSION_2022-05-09_13h11.25.124.csv"
98,"female",32,"undergraduate","D",23.5333,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_D_PARTICIPANT_SESSION_2022-05-09_13h11.39.132.csv"
99,"female",41,"A-Levels","D",22.8167,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_D_PARTICIPANT_SESSION_2022-05-09_13h25.17.421.csv"
100,"female",21,"undergraduate","D",16.5833,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_D_PARTICIPANT_SESSION_2022-05-12_12h05.49.761.csv"
101,"female",33,"A-Levels","D",20.0167,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_D_PARTICIPANT_SESSION_2022-05-12_12h12.52.129.csv"
102,"female",39,"postgraduate","D",22.6,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_D_PARTICIPANT_SESSION_2022-05-12_15h10.31.409.csv"
103,"female",43,"undergraduate","D",19.8333,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_D_PARTICIPANT_SESSION_2022-05-12_15h12.02.633.csv"
104,"male",29,"postgraduate","D",16.3,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_D_PARTICIPANT_SESSION_2022-05-12_15h19.05.214.csv"
105,"female",30,"undergraduate","E",18.9,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_E_PARTICIPANT_SESSION_2022-04-30_12h13.00.161.csv"
106,"female",34,"undergraduate","E",19.35,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_E_PARTICIPANT_SESSION_2022-04-30_12h34.05.384.csv"
107,"male",48,"A-Levels","E",15.6,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_E_PARTICIPANT_SESSION_2022-04-30_12h50.30.176.csv"
108,"male",20,"A-Levels","E",22.1667,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_E_PARTICIPANT_SESSION_2022-04-30_13h03.05.48.csv"
109,"female",39,"undergraduate","E",18.3667,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_E_PARTICIPANT_SESSION_2022-04-30_14h21.26.32.csv"
110,"female",18,"A-Levels","E",20.15,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_E_PARTICIPANT_SESSION_2022-05-02_11h01.24.362.csv"
111,"female",47,"undergraduate","E",18.75,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_E_PARTICIPANT_SESSION_2022-05-02_11h01.59.524.csv"
112,"male",39,"undergraduate","E",20.2167,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_E_PARTICIPANT_SESSION_2022-05-02_11h05.33.719.csv"
113,"male",48,"A-Levels","E",22.3167,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_E_PARTICIPANT_SESSION_2022-05-02_11h05.44.843.csv"
114,"male",28,"undergraduate","E",16.5833,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_E_PARTICIPANT_SESSION_2022-05-02_11h07.45.54.csv"
115,"female",36,"phd","E",19.2333,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_E_PARTICIPANT_SESSION_2022-05-02_11h34.26.90.csv"
116,"female",26,"undergraduate","E",19.8833,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_E_PARTICIPANT_SESSION_2022-05-02_11h35.01.604.csv"
117,"male",41,"phd","E",17.8333,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_E_PARTICIPANT_SESSION_2022-05-02_11h35.05.911.csv"
118,"female",37,"undergraduate","E",19.3,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_E_PARTICIPANT_SESSION_2022-05-02_11h35.07.831.csv"
119,"female",20,"A-Levels","E",20.8833,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_E_PARTICIPANT_SESSION_2022-05-02_11h42.12.145.csv"
120,"male",49,"undergraduate","E",21.0167,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_E_PARTICIPANT_SESSION_2022-05-02_12h15.41.809.csv"
121,"male",28,"A-Levels","E",22.4,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_E_PARTICIPANT_SESSION_2022-05-02_12h18.08.811.csv"
122,"male",37,"A-Levels","E",26.4167,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_E_PARTICIPANT_SESSION_2022-05-02_12h20.42.442.csv"
123,"female",24,"A-Levels","E",22,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_E_PARTICIPANT_SESSION_2022-05-02_12h23.35.390.csv"
124,"male",30,"A-Levels","E",17.25,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_E_PARTICIPANT_SESSION_2022-05-02_12h33.18.188.csv"
125,"male",47,"undergraduate","E",24.2667,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_E_PARTICIPANT_SESSION_2022-05-12_16h02.50.749.csv"
126,"male",36,"undergraduate","E",22.4,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_E_PARTICIPANT_SESSION_2022-05-12_16h21.21.932.csv"
127,"female",25,"postgraduate","E",19.4,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_E_PARTICIPANT_SESSION_2022-05-12_22h35.15.673.csv"
128,"female",31,"undergraduate","E",21.2833,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_E_PARTICIPANT_SESSION_2022-05-12_22h42.43.918.csv"
129,"male",43,"undergraduate","E",29,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_E_PARTICIPANT_SESSION_2022-05-12_22h44.06.90.csv"
130,"male",38,"undergraduate","E",22.1833,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_E_PARTICIPANT_SESSION_2022-05-12_22h56.59.722.csv"
131,"male",41,"A-Levels","F",14.7,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_F_PARTICIPANT_SESSION_2022-05-02_11h46.24.697.csv"
132,"male",31,"undergraduate","F",18.7833,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_F_PARTICIPANT_SESSION_2022-05-02_11h50.46.275.csv"
133,"female",42,"A-Levels","F",16.4,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_F_PARTICIPANT_SESSION_2022-05-02_11h51.38.842.csv"
134,"male",19,"A-Levels","F",15.5167,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_F_PARTICIPANT_SESSION_2022-05-02_12h01.39.191.csv"
135,"female",32,"undergraduate","F",23.2833,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_F_PARTICIPANT_SESSION_2022-05-02_12h03.26.564.csv"
136,"female",19,"GCSEs","F",18.5333,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_F_PARTICIPANT_SESSION_2022-05-02_12h35.06.6.csv"
137,"male",38,"GCSEs","F",22.1833,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_F_PARTICIPANT_SESSION_2022-05-02_12h36.54.881.csv"
138,"male",32,"A-Levels","F",24.65,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_F_PARTICIPANT_SESSION_2022-05-02_12h39.36.612.csv"
139,"female",26,"undergraduate","F",16.0833,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_F_PARTICIPANT_SESSION_2022-05-02_12h40.10.212.csv"
140,"female",26,"undergraduate","F",18.5167,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_F_PARTICIPANT_SESSION_2022-05-09_13h54.27.726.csv"
141,"female",45,"undergraduate","F",22.3667,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_F_PARTICIPANT_SESSION_2022-05-09_14h00.53.295.csv"
142,"male",47,"postgraduate","F",21.1333,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_F_PARTICIPANT_SESSION_2022-05-09_14h03.08.543.csv"
143,"female",25,"GCSEs","F",27.6333,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_F_PARTICIPANT_SESSION_2022-05-09_14h04.17.495.csv"
144,"female",42,"undergraduate","F",16.4667,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_F_PARTICIPANT_SESSION_2022-05-09_14h43.34.108.csv"
145,"male",41,"undergraduate","F",18.6167,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_F_PARTICIPANT_SESSION_2022-05-09_14h44.40.105.csv"
146,"female",37,"phd","F",15.2333,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_F_PARTICIPANT_SESSION_2022-05-09_14h51.51.440.csv"
147,"other",24,"GCSEs","F",20.9833,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_F_PARTICIPANT_SESSION_2022-05-09_14h53.23.674.csv"
148,"male",32,"GCSEs","F",18.55,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_F_PARTICIPANT_SESSION_2022-05-09_16h11.40.316.csv"
149,"male",33,"postgraduate","F",18.8667,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_F_PARTICIPANT_SESSION_2022-05-09_16h22.57.109.csv"
150,"female",42,"undergraduate","F",20.2833,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_F_PARTICIPANT_SESSION_2022-05-09_16h39.09.512.csv"
151,"male",23,"undergraduate","F",18.9333,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_F_PARTICIPANT_SESSION_2022-05-09_16h52.20.124.csv"
152,"male",31,"phd","F",14.0667,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_F_PARTICIPANT_SESSION_2022-05-12_16h43.58.285.csv"
153,"male",34,"undergraduate","F",15.4167,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_F_PARTICIPANT_SESSION_2022-05-12_16h48.00.472.csv"
154,"male",25,"postgraduate","F",19.3,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_F_PARTICIPANT_SESSION_2022-05-12_16h50.52.407.csv"
155,"male",26,"postgraduate","F",21.2167,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_F_PARTICIPANT_SESSION_2022-05-12_16h51.58.330.csv"
156,"male",48,"postgraduate","F",21.5167,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_F_PARTICIPANT_SESSION_2022-05-12_17h26.38.200.csv"
157,"female",37,"undergraduate","G",16.9167,1,"1","Prolific","Experiment3/data/raw/PROLIFIC3_Music_G_PARTICIPANT_SESSION_2022-05-02_12h58.00.430.csv"
