"subject","gender","age","education","list","experiment_time","trap_accuracy","honesty","subject_pool","filename"
13,"male",22,"A-Levels","A",16.0833,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_A_PARTICIPANT_SESSION_2022-02-03_14h38.52.351.csv"
14,"female",50,"GCSEs","A",18.1,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_A_PARTICIPANT_SESSION_2022-02-03_14h40.35.31.csv"
15,"female",38,"undergraduate","A",18.4,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_A_PARTICIPANT_SESSION_2022-02-03_14h43.05.86.csv"
16,"female",34,"undergraduate","A",16.75,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_A_PARTICIPANT_SESSION_2022-02-03_14h43.44.442.csv"
17,"male",35,"A-Levels","A",15.25,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_A_PARTICIPANT_SESSION_2022-02-03_14h44.02.144.csv"
18,"female",29,"undergraduate","A",11.8667,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_A_PARTICIPANT_SESSION_2022-02-03_14h45.58.498.csv"
19,"male",47,"postgraduate","A",24.3333,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_A_PARTICIPANT_SESSION_2022-02-03_14h46.39.820.csv"
20,"male",32,"undergraduate","A",24.5167,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_A_PARTICIPANT_SESSION_2022-02-03_14h58.58.539.csv"
21,"male",25,"A-Levels","A",13.6833,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_A_PARTICIPANT_SESSION_2022-02-15_16h06.11.428.csv"
22,"female",22,"undergraduate","A",15.3,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_A_PARTICIPANT_SESSION_2022-02-15_16h06.58.127.csv"
23,"female",40,"postgraduate","A",15.45,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_A_PARTICIPANT_SESSION_2022-02-15_16h08.31.576.csv"
24,"female",39,"phd","A",16.7167,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_A_PARTICIPANT_SESSION_2022-02-15_16h09.17.340.csv"
25,"male",29,"postgraduate","A",15.5667,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_A_PARTICIPANT_SESSION_2022-02-15_16h09.36.298.csv"
26,"female",23,"undergraduate","A",14.1833,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_A_PARTICIPANT_SESSION_2022-02-15_16h11.55.240.csv"
27,"female",47,"A-Levels","A",17.7333,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_A_PARTICIPANT_SESSION_2022-02-15_16h12.27.586.csv"
28,"female",40,"undergraduate","A",17.9,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_A_PARTICIPANT_SESSION_2022-02-15_16h12.53.979.csv"
29,"female",23,"undergraduate","A",19.5,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_A_PARTICIPANT_SESSION_2022-02-15_16h13.32.881.csv"
30,"female",41,"postgraduate","A",19.25,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_A_PARTICIPANT_SESSION_2022-02-15_16h14.22.419.csv"
31,"male",25,"postgraduate","A",11.4667,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_A_PARTICIPANT_SESSION_2022-02-18_15h19.04.981.csv"
32,"male",25,"undergraduate","A",18.7333,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_A_PARTICIPANT_SESSION_2022-02-18_15h30.41.263.csv"
33,"female",20,"A-Levels","A",17.1,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_A_PARTICIPANT_SESSION_2022-02-21_10h23.12.936.csv"
34,"male",34,"postgraduate","A",16.2667,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_A_PARTICIPANT_SESSION_2022-02-21_10h27.38.343.csv"
35,"female",50,"undergraduate","B",14.5833,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-01_12h44.30.937.csv"
36,"female",22,"undergraduate","B",14.9833,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-01_12h50.44.117.csv"
37,"female",34,"A-Levels","B",13.4667,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-02_13h39.45.809.csv"
38,"male",32,"undergraduate","B",15.65,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-02_13h43.55.215.csv"
39,"male",45,"A-Levels","B",16.2333,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-02_13h44.10.752.csv"
40,"male",34,"A-Levels","B",17.8333,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-02_13h44.43.343.csv"
41,"male",29,"A-Levels","B",11.6167,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-02_13h46.20.682.csv"
42,"male",46,"undergraduate","B",24.55,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-02_13h55.33.912.csv"
43,"male",26,"A-Levels","B",12.9,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-02_13h57.02.796.csv"
44,"female",24,"postgraduate","B",17.1,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-02_14h04.38.990.csv"
45,"female",29,"postgraduate","B",13.5167,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-03_15h47.21.751.csv"
46,"male",20,"A-Levels","B",15.3833,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-03_15h50.20.214.csv"
47,"male",26,"postgraduate","B",17.45,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-03_15h51.03.676.csv"
48,"female",28,"A-Levels","B",15.7667,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-03_15h52.47.671.csv"
49,"female",38,"undergraduate","B",16.0333,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-03_15h54.44.546.csv"
50,"female",34,"A-Levels","B",18.8167,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-03_15h54.48.729.csv"
51,"male",25,"postgraduate","B",18.1667,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-03_15h55.54.940.csv"
52,"female",28,"undergraduate","B",17.5333,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-03_15h58.56.659.csv"
53,"female",38,"A-Levels","B",17.95,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-03_16h02.31.284.csv"
54,"female",26,"postgraduate","B",1.17806,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-03_16h47.45.810.csv"
55,"female",31,"undergraduate","B",16.3167,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-15_16h41.22.625.csv"
56,"male",25,"undergraduate","B",16.3167,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-15_16h41.35.73.csv"
57,"female",22,"undergraduate","B",18.5167,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-15_16h44.23.127.csv"
58,"female",28,"phd","B",19.4167,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-15_16h45.56.412.csv"
59,"male",42,"undergraduate","B",19.65,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-15_16h46.59.77.csv"
60,"female",26,"undergraduate","B",14.8667,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-15_16h49.03.349.csv"
61,"female",30,"undergraduate","B",18.8167,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-15_16h49.55.939.csv"
62,"male",49,"undergraduate","B",30.1167,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-15_16h58.15.475.csv"
63,"other",20,"A-Levels","B",19.7333,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-15_17h04.15.651.csv"
64,"male",38,"A-Levels","B",15.1,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-21_11h01.42.326.csv"
65,"female",37,"postgraduate","B",17.4,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-21_11h04.10.724.csv"
66,"male",39,"A-Levels","B",17.15,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-21_11h12.21.231.csv"
67,"male",32,"undergraduate","B",13.7333,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-02-21_11h55.29.114.csv"
68,"female",40,"postgraduate","B",15.7333,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_B_PARTICIPANT_SESSION_2022-05-11_13h28.41.229.csv"
69,"female",28,"postgraduate","C",14.6167,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_C_PARTICIPANT_SESSION_2022-02-01_13h17.03.644.csv"
70,"female",34,"undergraduate","C",16.6667,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_C_PARTICIPANT_SESSION_2022-02-01_13h21.36.387.csv"
71,"male",20,"A-Levels","C",13.5167,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_C_PARTICIPANT_SESSION_2022-02-02_14h45.27.947.csv"
72,"female",25,"undergraduate","C",16.3167,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_C_PARTICIPANT_SESSION_2022-02-02_14h51.34.109.csv"
73,"male",34,"undergraduate","C",11.75,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_C_PARTICIPANT_SESSION_2022-02-02_14h51.55.611.csv"
74,"male",30,"undergraduate","C",15.8667,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_C_PARTICIPANT_SESSION_2022-02-02_14h55.52.794.csv"
75,"male",32,"postgraduate","C",14.5333,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_C_PARTICIPANT_SESSION_2022-02-02_14h56.03.820.csv"
76,"female",21,"undergraduate","C",16.6333,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_C_PARTICIPANT_SESSION_2022-02-02_14h56.46.348.csv"
77,"male",19,"A-Levels","C",16.65,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_C_PARTICIPANT_SESSION_2022-02-02_14h59.15.178.csv"
78,"female",40,"undergraduate","C",16.0333,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_C_PARTICIPANT_SESSION_2022-02-02_15h04.46.573.csv"
79,"male",26,"undergraduate","C",33.1,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_C_PARTICIPANT_SESSION_2022-02-02_15h23.55.834.csv"
80,"male",36,"GCSEs","C",16.1667,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_C_PARTICIPANT_SESSION_2022-02-02_15h51.21.147.csv"
81,"male",33,"A-Levels","C",13.1333,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_C_PARTICIPANT_SESSION_2022-02-04_11h42.37.259.csv"
82,"female",40,"undergraduate","C",13.3667,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_C_PARTICIPANT_SESSION_2022-02-04_11h43.24.636.csv"
83,"male",37,"A-Levels","C",16.8167,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_C_PARTICIPANT_SESSION_2022-02-04_11h47.08.802.csv"
84,"male",35,"A-Levels","C",13.3667,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_C_PARTICIPANT_SESSION_2022-02-04_11h48.52.957.csv"
85,"female",29,"undergraduate","C",12.4167,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_C_PARTICIPANT_SESSION_2022-02-04_11h49.32.641.csv"
86,"female",43,"postgraduate","C",21.7167,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_C_PARTICIPANT_SESSION_2022-02-04_12h04.45.258.csv"
87,"male",34,"undergraduate","C",17.6,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_C_PARTICIPANT_SESSION_2022-02-04_12h08.22.878.csv"
88,"female",26,"undergraduate","C",21.2833,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_C_PARTICIPANT_SESSION_2022-02-04_12h21.07.894.csv"
89,"female",28,"undergraduate","C",11.0667,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_C_PARTICIPANT_SESSION_2022-02-16_09h14.26.425.csv"
90,"male",29,"postgraduate","C",16.7833,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_C_PARTICIPANT_SESSION_2022-02-16_09h19.39.891.csv"
91,"male",39,"undergraduate","C",22.8667,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_C_PARTICIPANT_SESSION_2022-02-16_09h30.19.72.csv"
92,"female",35,"undergraduate","C",19.5667,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_C_PARTICIPANT_SESSION_2022-02-16_09h34.22.619.csv"
93,"female",18,"A-Levels","C",17.2667,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_C_PARTICIPANT_SESSION_2022-02-16_10h14.00.995.csv"
94,"female",26,"A-Levels","C",17.35,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_C_PARTICIPANT_SESSION_2022-02-17_11h03.48.742.csv"
95,"female",30,"GCSEs","C",16.2333,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_C_PARTICIPANT_SESSION_2022-02-17_11h03.58.865.csv"
96,"female",45,"undergraduate","C",18.2,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_C_PARTICIPANT_SESSION_2022-02-17_11h08.13.295.csv"
97,"female",39,"A-Levels","C",16.3333,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_C_PARTICIPANT_SESSION_2022-02-17_11h10.07.89.csv"
98,"female",24,"postgraduate","C",10.1667,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_C_PARTICIPANT_SESSION_2022-02-17_11h23.40.425.csv"
99,"female",36,"postgraduate","C",13.1167,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_C_PARTICIPANT_SESSION_2022-02-21_12h30.48.813.csv"
100,"female",23,"postgraduate","C",20.75,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_C_PARTICIPANT_SESSION_2022-02-21_12h43.10.806.csv"
101,"female",-36,"A-Levels","C",20.5333,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_C_PARTICIPANT_SESSION_2022-02-21_13h04.47.696.csv"
102,"female",47,"undergraduate","C",15.7667,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_C_PARTICIPANT_SESSION_2022-02-21_13h14.27.691.csv"
103,"male",43,"postgraduate","D",11.6667,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_D__PARTICIPANT_SESSION_2022-02-01_13h38.38.49.csv"
104,"male",25,"postgraduate","D",14.5833,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_D__PARTICIPANT_SESSION_2022-02-01_13h41.27.217.csv"
105,"female",31,"A-Levels","D",12.55,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_D__PARTICIPANT_SESSION_2022-02-02_16h17.36.968.csv"
106,"female",49,"undergraduate","D",16.75,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_D__PARTICIPANT_SESSION_2022-02-02_16h22.26.634.csv"
107,"female",30,"undergraduate","D",16.1,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_D__PARTICIPANT_SESSION_2022-02-02_16h22.30.391.csv"
108,"male",43,"A-Levels","D",13.3667,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_D__PARTICIPANT_SESSION_2022-02-02_16h23.11.945.csv"
109,"male",29,"A-Levels","D",14.8833,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_D__PARTICIPANT_SESSION_2022-02-02_16h25.10.926.csv"
110,"female",30,"undergraduate","D",19.15,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_D__PARTICIPANT_SESSION_2022-02-02_16h25.53.368.csv"
111,"female",20,"undergraduate","D",15.9333,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_D__PARTICIPANT_SESSION_2022-02-02_16h27.37.530.csv"
112,"male",23,"undergraduate","D",16.2,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_D__PARTICIPANT_SESSION_2022-02-02_16h28.15.458.csv"
113,"male",22,"undergraduate","D",21.8,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_D__PARTICIPANT_SESSION_2022-02-02_16h28.23.776.csv"
114,"female",21,"GCSEs","D",15.1,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_D__PARTICIPANT_SESSION_2022-02-02_16h33.35.979.csv"
115,"male",43,"undergraduate","D",16.9,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_D__PARTICIPANT_SESSION_2022-02-04_13h25.30.734.csv"
116,"male",38,"GCSEs","D",16.0833,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_D__PARTICIPANT_SESSION_2022-02-04_13h32.41.51.csv"
117,"female",46,"undergraduate","D",21.6833,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_D__PARTICIPANT_SESSION_2022-02-04_13h36.12.805.csv"
118,"male",34,"postgraduate","D",21.0833,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_D__PARTICIPANT_SESSION_2022-02-04_13h49.44.388.csv"
119,"female",45,"A-Levels","D",15.7,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_D__PARTICIPANT_SESSION_2022-02-04_14h15.29.712.csv"
120,"female",46,"A-Levels","D",12.3333,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_D__PARTICIPANT_SESSION_2022-02-15_12h39.36.165.csv"
121,"female",36,"A-Levels","D",20.9167,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_D__PARTICIPANT_SESSION_2022-02-15_12h41.08.326.csv"
122,"female",46,"A-Levels","D",24.7667,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_D__PARTICIPANT_SESSION_2022-02-15_12h53.19.350.csv"
123,"male",50,"phd","D",15.0167,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_D__PARTICIPANT_SESSION_2022-02-17_13h05.43.881.csv"
124,"female",24,"undergraduate","D",18.1167,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_D__PARTICIPANT_SESSION_2022-02-17_13h09.40.447.csv"
125,"male",38,"A-Levels","D",20.5167,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_D__PARTICIPANT_SESSION_2022-02-17_13h10.43.336.csv"
126,"male",31,"undergraduate","D",22.4333,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_D__PARTICIPANT_SESSION_2022-02-17_13h12.46.786.csv"
127,"female",28,"primary","D",20.15,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_D__PARTICIPANT_SESSION_2022-02-17_13h14.04.320.csv"
128,"male",40,"undergraduate","D",18.7167,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_D__PARTICIPANT_SESSION_2022-02-17_13h22.50.433.csv"
129,"female",49,"A-Levels","D",20.4167,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_D__PARTICIPANT_SESSION_2022-02-17_13h23.43.876.csv"
130,"female",23,"undergraduate","D",20.35,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_D__PARTICIPANT_SESSION_2022-02-17_13h25.25.6.csv"
131,"female",30,"undergraduate","D",28.7333,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_D__PARTICIPANT_SESSION_2022-02-17_13h26.34.785.csv"
132,"female",26,"postgraduate","D",14.1,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_D__PARTICIPANT_SESSION_2022-02-21_16h02.05.605.csv"
133,"male",30,"A-Levels","D",18.8333,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_D__PARTICIPANT_SESSION_2022-02-21_16h07.36.958.csv"
134,"female",33,"undergraduate","D",17.7333,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_D__PARTICIPANT_SESSION_2022-02-21_16h11.22.138.csv"
135,"female",49,"undergraduate","D",18.8667,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_D__PARTICIPANT_SESSION_2022-02-21_16h23.30.223.csv"
136,"male",40,"undergraduate","D",11.5,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_D__PARTICIPANT_SESSION_2022-05-11_13h53.20.910.csv"
137,"female",42,"undergraduate","E",15.5333,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_E__PARTICIPANT_SESSION_2022-02-01_14h12.47.97.csv"
138,"male",37,"undergraduate","E",19.2167,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_E__PARTICIPANT_SESSION_2022-02-01_14h22.42.943.csv"
139,"female",24,"A-Levels","E",12.0833,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_E__PARTICIPANT_SESSION_2022-02-02_17h56.59.493.csv"
140,"female",37,"undergraduate","E",16.8333,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_E__PARTICIPANT_SESSION_2022-02-02_18h01.30.846.csv"
141,"female",25,"postgraduate","E",18.5333,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_E__PARTICIPANT_SESSION_2022-02-02_18h05.56.975.csv"
142,"female",21,"undergraduate","E",15.3167,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_E__PARTICIPANT_SESSION_2022-02-02_18h09.25.626.csv"
143,"male",41,"undergraduate","E",16,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_E__PARTICIPANT_SESSION_2022-02-02_18h10.01.183.csv"
144,"female",21,"undergraduate","E",18.5333,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_E__PARTICIPANT_SESSION_2022-02-02_18h11.57.189.csv"
145,"female",21,"A-Levels","E",17.2833,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_E__PARTICIPANT_SESSION_2022-02-02_18h12.49.457.csv"
146,"female",50,"A-Levels","E",16.3167,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_E__PARTICIPANT_SESSION_2022-02-02_18h13.49.500.csv"
147,"female",49,"GCSEs","E",20.1333,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_E__PARTICIPANT_SESSION_2022-02-02_21h50.59.20.csv"
148,"male",41,"A-Levels","E",15.85,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_E__PARTICIPANT_SESSION_2022-02-02_21h53.05.282.csv"
149,"female",38,"postgraduate","E",19.3333,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_E__PARTICIPANT_SESSION_2022-02-02_22h14.01.968.csv"
150,"female",46,"undergraduate","E",15.4833,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_E__PARTICIPANT_SESSION_2022-02-15_13h13.46.981.csv"
151,"female",30,"undergraduate","E",16.15,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_E__PARTICIPANT_SESSION_2022-02-15_13h19.24.470.csv"
152,"male",47,"A-Levels","E",21.2,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_E__PARTICIPANT_SESSION_2022-02-15_13h21.16.736.csv"
153,"female",20,"A-Levels","E",24.2667,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_E__PARTICIPANT_SESSION_2022-02-15_13h22.51.168.csv"
154,"male",41,"A-Levels","E",28.6833,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_E__PARTICIPANT_SESSION_2022-02-15_13h25.16.530.csv"
155,"female",31,"undergraduate","E",33.5833,1,"1","Prolific ","Experiment2/data/raw/PROLIFIC2_Music_E__PARTICIPANT_SESSION_2022-02-15_13h36.53.878.csv"
